filename,width,height,class,xmin,ymin,xmax,ymax
00157.png,200,200,mound,9,21,40,48
00157.png,200,200,mound,71,18,98,42
00157.png,200,200,mound,107,2,140,28
00157.png,200,200,mound,123,43,142,62
00157.png,200,200,mound,79,46,108,71
00157.png,200,200,mound,166,59,200,86
00157.png,200,200,mound,147,159,170,182
00157.png,200,200,mound,89,124,119,153
00157.png,200,200,mound,1,126,28,151
00157.png,200,200,mound,123,88,144,108
00157.png,200,200,mound,19,61,49,88
00157.png,200,200,mound,50,88,83,117
00157.png,200,200,mound,23,167,53,194
00157.png,200,200,mound,139,65,159,86
