filename,width,height,class,xmin,ymin,xmax,ymax
00093.png,200,200,mound,44,169,59,183
00093.png,200,200,mound,85,176,105,194
00093.png,200,200,mound,115,152,137,175
00093.png,200,200,mound,148,166,171,185
00093.png,200,200,mound,182,183,200,200
00093.png,200,200,mound,172,128,192,145
00093.png,200,200,mound,140,106,166,127
00093.png,200,200,mound,168,81,188,101
00093.png,200,200,mound,170,30,187,47
00093.png,200,200,mound,130,8,147,26
00093.png,200,200,mound,91,28,113,50
00093.png,200,200,mound,90,119,103,132
00093.png,200,200,mound,62,46,80,63
00093.png,200,200,mound,63,130,79,145
00093.png,200,200,mound,49,150,64,164
00093.png,200,200,mound,109,108,124,122
