filename,width,height,class,xmin,ymin,xmax,ymax
00092.png,200,200,mound,144,14,163,35
00092.png,200,200,mound,74,75,98,95
00092.png,200,200,mound,4,41,23,58
00092.png,200,200,mound,21,92,42,112
00092.png,200,200,mound,0,108,19,125
00092.png,200,200,mound,43,130,71,154
00092.png,200,200,mound,82,138,101,156
00092.png,200,200,mound,121,143,138,164
00092.png,200,200,mound,74,169,95,188
00092.png,200,200,mound,17,180,36,200
00092.png,200,200,mound,40,170,58,189
00092.png,200,200,mound,167,130,182,143
00092.png,200,200,mound,150,108,164,121
00092.png,200,200,mound,151,68,175,89
00092.png,200,200,mound,30,56,51,75
