filename,width,height,class,xmin,ymin,xmax,ymax
03045.png,200,200,mound,6,10,53,52
03045.png,200,200,mound,55,11,91,47
03045.png,200,200,mound,51,51,74,75
03045.png,200,200,mound,20,118,62,159
03045.png,200,200,mound,158,23,200,70
03045.png,200,200,mound,18,76,53,115
03045.png,200,200,mound,51,78,89,118
03045.png,200,200,mound,92,39,119,65
03045.png,200,200,mound,177,2,196,21
03045.png,200,200,mound,104,2,136,31
03045.png,200,200,mound,108,97,137,128
03045.png,200,200,mound,135,61,169,98
