filename,width,height,class,xmin,ymin,xmax,ymax
7811.png,1536,2048,fort,450,763,727,1108
7620.png,1536,1536,fort,51,344,570,942
7655.png,1536,1536,fort,664,710,994,1053
7414.png,1536,2048,fort,584,715,1018,1025
7659.png,1536,2048,fort,310,564,1072,1248
7691.png,1536,2048,fort,286,537,1050,1135
7419.png,1536,1536,fort,636,548,934,973
7699.png,1536,2048,fort,382,1005,628,1237
7594.png,1536,1536,fort,208,282,1057,1021
7708.png,1536,1536,fort,668,397,1146,1045
2406.png,1536,2048,fort,62,349,1370,1407
7607.png,1536,2048,fort,705,744,1230,1170
7714.png,1536,1536,fort,784,562,1133,932
7665.png,1536,2048,fort,598,736,897,1095
7687.png,2048,1536,fort,700,486,1365,1005
7690.png,1536,2048,fort,595,803,881,1057
2344.png,2048,2048,fort,313,739,1355,1541
7700.png,1536,2048,fort,848,666,1225,1170
7701.png,1536,2048,fort,512,755,843,1011
7711.png,1536,1536,fort,509,558,1158,1078
7621.png,2048,2048,fort,759,1011,1228,1318
7693.png,2048,2048,fort,781,333,1608,1046
7828.png,1536,2048,fort,428,849,768,1086
20693.png,1536,2048,fort,721,852,1176,1296
8490.png,1536,2048,fort,487,841,867,1191
17248.png,1536,2048,fort,729,790,1341,1415
17874.png,1536,2048,fort,318,486,988,1124
7815.png,1536,2048,fort,501,933,692,1065
11127.png,1536,1536,fort,606,590,998,1150
18309.png,1536,2048,fort,732,591,1252,1345
18384.png,1536,2048,fort,407,661,910,1170
18832.png,1536,2048,fort,799,736,1295,1113
11470.png,1536,1536,fort,214,364,1372,1233
19323.png,1536,2048,fort,388,556,819,998
9853.png,2048,1536,fort,908,528,1268,773
20457.png,1536,1536,fort,370,667,980,1106
20691.png,1536,2048,fort,431,916,918,1286
11107.png,1536,2048,fort,401,795,897,1164
11476.png,1536,2048,fort,460,1134,967,2018
7818.png,1536,2048,fort,555,863,1066,1283
7825.png,2048,1536,fort,541,219,1499,1267
17246.png,2048,2048,fort,767,639,1306,1175
11031.png,1536,2048,fort,450,798,1370,1038
18221.png,1536,2048,fort,439,524,1410,1600
18390.png,1536,2048,fort,313,295,1190,1256
18909.png,1536,1536,fort,59,257,1085,1009
20468.png,1536,2048,fort,697,836,1101,1159
21655.png,1536,1536,fort,668,479,1360,999
21285.png,1536,2048,fort,318,742,1536,2023
21658.png,1536,1536,fort,61,179,272,337
21306.png,1536,1536,fort,289,615,756,1017
21659.png,1536,2048,fort,729,696,1031,1097
20913.png,1536,2048,fort,138,486,1158,1404
21671.png,1536,1536,fort,792,817,1097,1037
21356.png,1536,1536,fort,648,597,1014,1041
21674.png,1536,1536,fort,331,270,1049,1191
21311.png,2048,1536,fort,1221,948,1537,1269
21311.png,2048,1536,fort,318,833,602,1068
21311.png,2048,1536,fort,977,17,1184,224
21311.png,2048,1536,fort,593,306,1125,1255
21675.png,1536,1536,fort,410,310,1006,940
21678.png,1536,1536,fort,430,556,960,854
21613.png,1536,1536,fort,564,859,790,1055
21418.png,1536,2048,fort,533,747,878,987
21649.png,1536,2048,fort,356,273,811,715
21651.png,1536,2048,fort,595,863,977,1407
21652.png,1536,2048,fort,773,583,1039,1202
20694.png,1536,2048,fort,533,814,996,1108
21340.png,2048,2048,fort,802,785,1209,1205
21286.png,2048,2048,fort,778,849,1317,1431
21437.png,2048,2048,fort,940,957,1207,1199
21437.png,2048,2048,fort,423,1242,857,1695
21654.png,1536,2048,fort,434,346,902,992
21656.png,1536,2048,fort,477,728,829,1127
21677.png,1536,2048,fort,568,825,891,1264
21653.png,2048,2048,fort,671,585,1228,1035
21812.png,1536,1536,fort,422,399,1166,866
22193.png,1536,2048,fort,487,841,870,1186
23011.png,1536,2048,fort,579,1019,881,1224
22594.png,1536,1536,fort,386,635,950,1082
22864.png,1536,2048,fort,374,1108,1004,1431
22778.png,1536,1536,fort,396,502,1536,1173
22870.png,1536,2048,fort,420,812,762,1248
21681.png,1536,2048,fort,662,884,1018,1267
21683.png,1536,2048,fort,552,470,1451,1291
21684.png,1536,1536,fort,509,518,877,1497
21793.png,1536,2048,fort,471,809,765,1162
22901.png,1536,2048,fort,245,542,1408,1173
22897.png,1536,2048,fort,582,841,878,1076
22199.png,2048,1536,fort,5,514,1369,1431
22208.png,1536,2048,fort,493,556,1486,1041
22872.png,1536,2048,fort,587,841,1526,1374
22867.png,1536,2048,fort,584,922,1222,1415
22899.png,1536,2048,fort,218,962,773,1525
22904.png,2048,2048,fort,372,1347,1793,2023
29267.png,1536,2048,fort,173,836,550,1253
23012.png,1536,1536,fort,91,792,385,1043
25428.png,1536,1536,fort,826,395,1536,1171
24142.png,1536,1536,fort,442,506,794,894
25598.png,1536,1536,fort,327,437,1055,1298
25814.png,1536,1536,fort,582,33,1434,1144
26472.png,1536,2048,fort,573,1011,1268,1458
25945.png,1536,2048,fort,57,925,773,1310
27548.png,1536,1536,fort,656,502,867,876
27748.png,1536,2048,fort,38,1280,695,1937
24485.png,1536,2048,fort,608,607,1384,1321
24013.png,1536,2048,fort,288,133,1228,1509
25164.png,1536,2048,fort,243,701,1047,1008
25427.png,1536,2048,fort,259,771,977,1436
25435.png,1536,2048,fort,665,922,1536,1708
26093.png,1536,2048,fort,735,833,1125,1286
28181.png,1536,2048,fort,452,516,1155,1060
27933.png,1536,2048,fort,245,701,878,1326
29405.png,1536,1536,fort,703,506,978,781
29486.png,1536,1536,fort,622,417,1242,1001
29404.png,1536,1536,fort,539,542,764,767
29414.png,1536,2048,fort,482,806,665,987
29490.png,1536,1536,fort,574,490,1043,878
29492.png,1536,1536,fort,568,562,895,848
29487.png,1536,2048,fort,587,502,1206,1043
29489.png,1536,1536,fort,535,445,1043,872
29407.png,1536,1536,fort,491,720,645,880
29488.png,1536,1536,fort,640,354,1283,894
29406.png,1536,2048,fort,721,954,889,1189
29498.png,1536,2048,fort,638,830,1077,1237
29494.png,1536,1536,fort,634,459,1242,1187
29491.png,1536,2048,fort,512,688,985,1113
29491.png,1536,2048,fort,1093,1605,1392,1875
29499.png,1536,2048,fort,617,620,1402,1334
29495.png,1536,2048,fort,471,610,1090,1156
29409.png,2048,2048,fort,929,489,1718,1528
29402.png,1536,1536,fort,408,562,1085,1193
29411.png,2048,2048,fort,819,1027,1134,1329
29412.png,1536,2048,fort,555,747,1117,1307
29418.png,1536,1536,fort,622,508,915,795
